,Gender,Age,Ever_Married,Family_Size,Profession,Graduated,Work_Experience,Energy_Consumption,Preferred_Renewable,Group
71,Female,51,Yes,2.0,Entertainment,Yes,8.0,Average,Solar,A
72,Female,47,Yes,5.0,Artist,No,0.0,Average,Solar,B
73,Female,33,No,4.0,Healthcare,No,8.0,Low,Solar,D
74,Male,56,Yes,4.0,Artist,Yes,0.0,Average,Solar,C
75,Female,33,No,3.0,Homemaker,No,0.0,Low,Solar,B
76,Female,36,No,2.0,Doctor,Yes,0.0,Low,Solar,D
77,Male,51,Yes,3.0,Artist,No,4.0,Low,Hydro,A
78,Male,45,Yes,2.0,Engineer,Yes,2.0,Average,Solar,C
79,Female,49,No,1.0,,Yes,1.0,Low,Solar,D
80,Male,30,No,4.0,Healthcare,No,0.0,Low,Solar,C
81,Female,26,No,3.0,Healthcare,No,6.0,Low,Geothermal,D
82,Male,63,Yes,1.0,Artist,Yes,8.0,Low,Solar,A
83,Male,35,Yes,4.0,Entertainment,No,8.0,Average,Wind,B
84,Female,19,No,3.0,Marketing,No,1.0,Low,Hydro,A
85,Male,32,No,5.0,Healthcare,No,7.0,Low,Solar,D
86,Male,52,Yes,3.0,Artist,Yes,0.0,Average,Solar,C
87,Female,36,Yes,2.0,Artist,Yes,5.0,Low,Solar,C
88,Female,42,No,3.0,Entertainment,No,7.0,Low,Hydro,D
89,Male,40,Yes,2.0,Doctor,No,0.0,Average,Wind,D
90,Male,39,No,3.0,Entertainment,Yes,0.0,Low,Tidal,B
91,Female,47,Yes,4.0,Artist,Yes,1.0,Average,Wind,C
92,Female,61,Yes,2.0,Artist,Yes,1.0,High,Solar,C
93,Male,32,Yes,2.0,Entertainment,No,1.0,Low,Wind,D
94,Male,55,Yes,1.0,Artist,No,0.0,Low,Solar,B
95,Male,58,Yes,1.0,Artist,Yes,,Average,Solar,D
96,Female,38,No,1.0,Artist,Yes,0.0,Low,Solar,D
97,Male,63,Yes,2.0,Artist,Yes,0.0,High,Solar,C
98,Male,58,Yes,2.0,Doctor,Yes,1.0,Average,Solar,C
99,Male,30,Yes,3.0,Engineer,No,3.0,Average,Hydro,D
100,Male,60,Yes,4.0,Artist,Yes,0.0,Average,Solar,C
101,Male,68,Yes,7.0,Executive,No,1.0,High,Solar,B
102,Male,52,Yes,3.0,Artist,No,0.0,Low,Hydro,A
103,Male,38,Yes,5.0,Executive,No,0.0,High,Solar,A
104,Female,35,Yes,2.0,Healthcare,Yes,10.0,Low,Solar,B
105,Male,18,No,2.0,Doctor,No,1.0,Low,Solar,D
106,Male,30,Yes,2.0,Homemaker,Yes,3.0,Low,Tidal,D
107,Male,86,No,1.0,Lawyer,No,1.0,Low,Solar,D
108,Female,19,,5.0,Healthcare,No,6.0,Low,Wind,D
109,Male,25,No,3.0,Healthcare,No,9.0,Low,Solar,D
110,Male,59,Yes,4.0,Entertainment,Yes,,Low,Hydro,A
111,Female,39,No,1.0,Artist,Yes,0.0,Low,Solar,A
112,Female,50,Yes,,Doctor,Yes,1.0,Low,Solar,B
113,Male,47,No,1.0,Artist,Yes,1.0,Low,Solar,C
114,Male,43,Yes,3.0,Executive,Yes,0.0,High,Solar,D
115,Male,36,Yes,4.0,Executive,No,8.0,Average,Tidal,B
116,Male,80,Yes,1.0,Lawyer,No,1.0,Low,Solar,D
117,Male,36,No,2.0,Artist,Yes,0.0,Low,Biomass,C
118,Male,27,No,7.0,,No,2.0,Low,Hydro,D
119,Female,37,Yes,2.0,Artist,Yes,1.0,High,Not Interested,A
120,Male,46,Yes,3.0,Executive,Yes,0.0,High,Solar,C
121,Male,55,Yes,4.0,Executive,No,1.0,High,Wind,B
122,Female,47,Yes,4.0,Engineer,No,9.0,Average,Hydro,B
123,Female,28,No,3.0,Healthcare,Yes,1.0,Low,Wind,D
124,Male,39,Yes,2.0,Entertainment,No,9.0,Low,Wind,D
125,Female,27,Yes,2.0,Marketing,No,1.0,Low,Solar,A
126,Female,42,Yes,,Engineer,No,0.0,Low,Solar,A
127,Male,72,Yes,2.0,Artist,Yes,0.0,Average,Solar,C
128,Female,28,Yes,2.0,Engineer,Yes,0.0,Low,Solar,A
129,Male,35,No,5.0,Entertainment,Yes,8.0,Low,Solar,C
130,Male,39,Yes,5.0,Executive,Yes,9.0,High,Biomass,A
131,Female,69,Yes,2.0,Lawyer,Yes,0.0,High,Solar,C
132,Male,18,No,4.0,Healthcare,No,6.0,Low,Hydro,D
133,Male,46,Yes,1.0,Artist,Yes,,Low,Solar,A
134,Female,50,Yes,2.0,Engineer,Yes,1.0,High,Hydro,B
135,Male,30,No,5.0,Executive,No,5.0,Low,Solar,A
136,Female,41,No,2.0,Artist,No,,Low,Solar,B
137,Female,39,No,4.0,Artist,Yes,3.0,Low,Solar,D
138,Female,29,No,4.0,Marketing,No,8.0,Low,Solar,D
139,Female,37,Yes,4.0,Artist,Yes,4.0,Low,Geothermal,B
140,Female,39,Yes,2.0,Engineer,Yes,0.0,Average,Solar,A
141,Female,48,Yes,5.0,Artist,Yes,0.0,Average,Not Interested,C
142,Female,32,No,3.0,Doctor,Yes,0.0,Low,Solar,C
143,Male,78,Yes,,Lawyer,No,1.0,Low,Solar,B
144,Female,43,Yes,5.0,Engineer,No,0.0,Average,Hydro,B
145,Male,29,No,5.0,Marketing,No,8.0,Low,Solar,C
146,Female,28,Yes,2.0,Engineer,No,9.0,Average,Hydro,A
147,Male,80,Yes,1.0,Lawyer,Yes,1.0,Low,Solar,B
148,Female,28,No,4.0,Healthcare,Yes,7.0,Low,Solar,D
149,Male,71,Yes,3.0,Artist,Yes,6.0,Average,Solar,C
150,Male,67,Yes,9.0,Lawyer,No,0.0,High,Hydro,A
151,Female,26,No,1.0,Engineer,No,0.0,Low,Biomass,A
152,Female,47,Yes,2.0,Engineer,Yes,0.0,Average,Solar,C
153,Female,43,Yes,2.0,Artist,Yes,2.0,Average,Solar,B
154,Female,27,No,4.0,Healthcare,Yes,0.0,Low,Solar,C
155,Female,45,Yes,4.0,Marketing,Yes,8.0,Low,Solar,D
156,Male,76,Yes,1.0,Executive,No,1.0,Low,Solar,C
157,Female,43,Yes,4.0,Artist,Yes,3.0,Average,Solar,C
158,Female,78,Yes,2.0,Lawyer,Yes,1.0,High,Solar,B
159,Male,35,Yes,3.0,Artist,Yes,3.0,Average,Solar,C
160,Female,49,No,1.0,Artist,Yes,1.0,Low,Solar,C
161,Female,25,No,5.0,Healthcare,Yes,1.0,Low,Solar,D
162,Male,37,Yes,5.0,Executive,No,0.0,Average,Solar,A
163,Female,32,No,5.0,Healthcare,No,1.0,Low,,C
164,Male,60,Yes,2.0,Doctor,Yes,0.0,Average,Solar,C
165,Female,45,Yes,3.0,Artist,Yes,5.0,Average,Solar,C
166,Female,49,Yes,3.0,Homemaker,Yes,9.0,Average,Solar,C
167,Male,32,No,5.0,Artist,Yes,0.0,Low,Solar,D
168,Female,40,Yes,3.0,Artist,Yes,0.0,Low,Wind,B
169,Male,59,Yes,2.0,Artist,No,2.0,Average,Hydro,C
170,Male,48,Yes,5.0,Artist,Yes,3.0,Low,Solar,B
171,Male,82,Yes,2.0,Executive,Yes,0.0,High,Solar,C
172,Female,70,Yes,2.0,Lawyer,Yes,0.0,Low,Solar,B
173,Male,31,No,2.0,Artist,Yes,5.0,Low,Solar,B
174,Female,72,Yes,2.0,Lawyer,Yes,0.0,High,Solar,C
175,Male,50,Yes,4.0,Artist,Yes,3.0,Average,Solar,C
176,Female,23,No,1.0,Engineer,No,11.0,Low,Wind,D
177,Female,20,No,6.0,Healthcare,No,2.0,Low,Solar,D
178,Female,22,No,3.0,Healthcare,No,4.0,Low,Solar,D
179,Female,31,No,1.0,Engineer,Yes,8.0,Low,Solar,A
180,Female,36,Yes,2.0,Artist,Yes,7.0,Average,Solar,C
181,Male,52,Yes,5.0,Entertainment,No,,Average,Hydro,B
182,Female,29,No,1.0,Artist,Yes,,Low,Hydro,B
183,Male,40,Yes,4.0,Artist,Yes,4.0,Average,Solar,C
184,Female,40,No,1.0,Artist,Yes,1.0,Low,Solar,A
185,Male,38,Yes,2.0,Artist,Yes,,Low,Solar,C
186,Female,85,Yes,,Lawyer,No,,Low,,A
187,Female,21,No,3.0,Doctor,No,1.0,Low,Not Interested,A
188,Female,41,Yes,2.0,Engineer,No,4.0,Average,Solar,D
189,Male,40,Yes,2.0,Artist,Yes,0.0,Low,Solar,B
190,Male,53,Yes,3.0,Artist,Yes,1.0,Average,Solar,B
191,Female,42,Yes,2.0,Artist,Yes,5.0,Low,Solar,C
192,Male,42,Yes,2.0,Executive,No,8.0,Low,Solar,D
193,Male,48,Yes,4.0,Artist,Yes,,Average,Not Interested,C
194,Male,59,Yes,2.0,Artist,Yes,7.0,Low,Solar,C
195,Male,41,Yes,3.0,Executive,Yes,1.0,Average,Solar,A
196,Female,31,Yes,2.0,Artist,Yes,0.0,Average,Solar,A
197,Female,49,Yes,5.0,Artist,Yes,1.0,High,Solar,B
198,Male,67,Yes,2.0,Executive,Yes,1.0,Low,Solar,A
199,Male,35,Yes,2.0,Artist,No,4.0,Average,Solar,B
200,Female,26,No,3.0,Healthcare,Yes,0.0,Low,Solar,C
201,Male,19,,3.0,Healthcare,No,9.0,Low,Wind,D
202,Female,25,Yes,8.0,Engineer,No,6.0,Average,Hydro,D
203,Female,39,Yes,2.0,Healthcare,Yes,4.0,Low,Solar,A
204,Male,63,Yes,2.0,Entertainment,Yes,0.0,Low,Solar,A
205,Male,23,No,3.0,Healthcare,No,8.0,Low,Solar,D
206,Female,23,No,3.0,Healthcare,No,0.0,Low,Wind,D
207,Female,53,Yes,1.0,Artist,Yes,2.0,Low,Solar,C
208,Male,33,No,2.0,Doctor,Yes,0.0,Low,Solar,B
209,Female,50,Yes,4.0,Engineer,No,,Average,Biomass,B
210,Female,69,Yes,2.0,Engineer,Yes,0.0,Low,Hydro,B
211,Male,37,No,1.0,Artist,Yes,2.0,Low,Solar,B
212,Female,20,No,4.0,Marketing,No,3.0,Low,Not Interested,C
213,Female,85,,1.0,Lawyer,No,0.0,High,Wind,C
214,Female,49,Yes,4.0,Doctor,Yes,1.0,Average,Solar,C
215,Male,18,No,3.0,Healthcare,No,0.0,Low,Wind,D
216,Female,52,Yes,2.0,Doctor,Yes,0.0,Average,Solar,C
217,Male,25,Yes,2.0,Doctor,No,,Average,Hydro,B
218,Male,56,Yes,2.0,Executive,No,,High,Solar,A
219,Male,62,No,1.0,,Yes,0.0,Low,Solar,A
220,Female,35,No,3.0,Artist,,0.0,Low,Solar,B
221,Male,28,Yes,2.0,Engineer,Yes,0.0,Average,Solar,A
222,Female,28,No,3.0,Artist,Yes,7.0,Low,Solar,A
223,Male,20,No,5.0,Healthcare,No,0.0,Low,Not Interested,D
224,Female,27,No,1.0,Homemaker,No,8.0,Low,Wind,D
225,Female,56,No,1.0,Engineer,No,,Low,Solar,A
226,Male,45,Yes,4.0,Artist,Yes,4.0,Average,Solar,B
227,Male,25,No,4.0,Healthcare,Yes,1.0,Low,Hydro,B
228,Male,40,No,1.0,Marketing,No,1.0,Low,Hydro,D
229,Female,25,Yes,2.0,Healthcare,Yes,,Low,Solar,D
230,Female,74,Yes,2.0,Lawyer,No,,High,Solar,D
231,Female,23,No,4.0,Healthcare,No,0.0,Low,,D
232,Female,67,Yes,2.0,Lawyer,Yes,0.0,High,Solar,B
233,Male,21,No,4.0,Healthcare,No,0.0,Low,,D
234,Female,38,No,1.0,Artist,Yes,9.0,Low,Wind,A
235,Male,28,No,4.0,Healthcare,No,0.0,Low,Biomass,C
236,Female,32,No,5.0,Healthcare,No,1.0,Low,Not Interested,B
237,Female,33,No,4.0,,Yes,0.0,Low,,D
238,Female,56,Yes,4.0,Lawyer,No,1.0,High,Hydro,B
239,Female,53,Yes,2.0,Artist,Yes,1.0,Low,Solar,C
240,Male,57,Yes,5.0,Executive,No,1.0,High,Solar,C
241,Female,59,Yes,3.0,Artist,Yes,0.0,Average,Solar,C
242,Female,25,Yes,4.0,Healthcare,Yes,1.0,High,Hydro,A
243,Male,59,Yes,6.0,Artist,Yes,0.0,Average,Solar,C
244,Female,36,Yes,4.0,Artist,Yes,0.0,Low,Solar,C
245,Male,37,Yes,2.0,Entertainment,Yes,7.0,Low,Solar,A
246,Male,22,No,3.0,Doctor,No,1.0,Low,Biomass,D
247,Male,43,Yes,2.0,Artist,Yes,1.0,Low,Solar,B
248,Male,41,Yes,2.0,Artist,Yes,1.0,Low,Hydro,A
249,Female,21,No,5.0,Engineer,No,0.0,Low,Biomass,B
250,Female,49,No,,Engineer,No,1.0,Low,Not Interested,A
251,Male,38,No,1.0,Doctor,Yes,8.0,Low,Biomass,B
252,Male,47,Yes,4.0,Artist,No,,Average,Solar,A
253,Male,70,Yes,3.0,Lawyer,Yes,1.0,High,Solar,C
254,Female,31,No,4.0,Engineer,No,1.0,Low,Solar,B
255,Female,82,Yes,2.0,Lawyer,No,0.0,Average,Solar,A
256,Female,51,Yes,1.0,Executive,No,,Low,Solar,A
257,Female,42,No,,Homemaker,No,11.0,Low,Solar,A
258,Male,38,No,3.0,Artist,Yes,8.0,Low,Biomass,A
259,Male,18,Yes,4.0,Executive,No,0.0,High,Solar,A
260,Male,50,Yes,3.0,Artist,Yes,6.0,Average,Solar,C
261,Female,46,No,,Doctor,Yes,1.0,Low,Wind,A
262,Female,72,Yes,3.0,Lawyer,No,1.0,High,Solar,D
263,Female,33,No,4.0,Engineer,No,,Low,Solar,C
264,Female,25,No,7.0,Homemaker,No,1.0,Low,Hydro,B
265,Female,75,Yes,2.0,Entertainment,No,2.0,High,Biomass,D
266,Male,72,No,1.0,Artist,Yes,1.0,Low,Solar,B
267,Female,72,Yes,3.0,Artist,Yes,0.0,Average,Hydro,C
268,Male,36,Yes,6.0,Entertainment,Yes,6.0,Low,Hydro,A
269,Male,40,Yes,2.0,Artist,Yes,1.0,Low,Solar,A
270,Female,28,No,4.0,Entertainment,Yes,0.0,Low,Solar,C
271,Female,28,No,3.0,Doctor,Yes,0.0,Low,Solar,D
272,Male,19,,3.0,Entertainment,No,0.0,High,Hydro,D
273,Male,43,Yes,2.0,Artist,Yes,0.0,Low,Hydro,B
274,Female,35,Yes,2.0,Artist,Yes,1.0,Average,Solar,B
275,Male,65,Yes,2.0,Lawyer,Yes,1.0,High,Solar,B
276,Male,52,Yes,4.0,Executive,Yes,7.0,High,Hydro,C
277,Female,40,No,1.0,Artist,Yes,1.0,Low,Solar,B
278,Female,69,Yes,3.0,Engineer,No,9.0,Low,Solar,A
279,Female,22,No,3.0,Healthcare,No,3.0,Low,Solar,D
280,Male,47,Yes,4.0,Executive,Yes,1.0,Average,Solar,C
281,Male,29,Yes,2.0,Marketing,Yes,1.0,High,Wind,A
282,Male,46,Yes,3.0,Artist,Yes,1.0,Average,Wind,C
283,Male,32,No,2.0,Artist,Yes,1.0,Low,Solar,A
284,Female,38,No,1.0,Healthcare,Yes,0.0,Low,Biomass,C
285,Male,59,Yes,1.0,Artist,Yes,0.0,Low,Solar,B
286,Female,26,No,1.0,Entertainment,Yes,1.0,Low,Solar,D
287,Male,26,No,2.0,Healthcare,Yes,1.0,Low,Wind,A
288,Male,28,No,1.0,Marketing,No,0.0,Low,Wind,D
289,Female,53,Yes,3.0,Engineer,Yes,1.0,Average,Solar,C
290,Female,43,No,1.0,Entertainment,,,Low,Solar,B
291,Male,27,No,3.0,Doctor,No,1.0,Low,Solar,D
292,Female,32,No,8.0,Artist,No,,Low,Solar,C
293,Male,26,No,4.0,Engineer,No,0.0,Low,Hydro,D
294,Female,31,No,2.0,Entertainment,No,0.0,Low,Solar,D
295,Male,39,Yes,3.0,Executive,Yes,1.0,High,Wind,B
296,Female,43,Yes,3.0,Engineer,No,1.0,Low,Not Interested,A
297,Male,25,Yes,2.0,Doctor,No,1.0,Low,Tidal,A
298,Male,40,Yes,3.0,Artist,Yes,3.0,High,Solar,A
299,Female,40,Yes,2.0,Entertainment,Yes,7.0,Average,Wind,B
300,Male,63,Yes,3.0,Entertainment,Yes,,Average,Solar,C
301,Female,27,Yes,2.0,Healthcare,Yes,,Low,Solar,D
302,Male,27,No,3.0,Healthcare,Yes,1.0,Low,Solar,D
303,Female,19,No,2.0,Healthcare,No,1.0,Low,Solar,D
304,Female,86,Yes,2.0,Lawyer,Yes,0.0,High,Solar,B
305,Male,41,Yes,2.0,Marketing,Yes,,High,Solar,B
306,Female,27,Yes,2.0,Artist,Yes,4.0,Average,Wind,C
307,Female,70,Yes,2.0,Doctor,No,0.0,Average,Solar,B
308,Female,53,Yes,4.0,Engineer,No,8.0,Average,Hydro,B
309,Female,49,Yes,4.0,Engineer,No,,Average,Hydro,B
310,Male,55,Yes,,Executive,No,3.0,Low,Hydro,D
311,Female,57,,4.0,Engineer,Yes,0.0,Average,Biomass,C
312,Male,83,Yes,1.0,Lawyer,No,,Low,Hydro,B
313,Male,43,Yes,4.0,Executive,No,0.0,High,Solar,A
314,Male,36,Yes,3.0,Doctor,No,6.0,Low,Solar,A
315,Male,74,Yes,2.0,Lawyer,Yes,0.0,Low,Solar,C
316,Female,30,No,4.0,Homemaker,No,0.0,Low,Solar,D
317,Female,37,No,2.0,Artist,Yes,5.0,Low,Solar,B
318,Female,22,No,1.0,Marketing,No,0.0,Low,Geothermal,B
319,Male,19,No,4.0,Healthcare,No,0.0,Low,Solar,D
320,Male,70,Yes,2.0,Engineer,Yes,4.0,High,Solar,B
321,Male,89,Yes,1.0,Lawyer,Yes,13.0,Low,Solar,A
322,Male,18,No,4.0,Healthcare,No,,Low,Solar,D
323,Male,25,No,1.0,Doctor,Yes,6.0,Low,Biomass,D
324,Female,45,No,1.0,Artist,Yes,4.0,Low,Wind,A
325,Female,35,No,1.0,Artist,Yes,3.0,Low,Hydro,A
326,Female,37,Yes,1.0,Engineer,No,7.0,Low,Hydro,D
327,Female,39,Yes,2.0,Engineer,No,4.0,Average,Solar,B
328,Female,32,No,5.0,Healthcare,Yes,1.0,Low,Hydro,D
329,Female,62,Yes,3.0,Artist,Yes,2.0,Average,Solar,C
330,Female,58,Yes,4.0,Engineer,Yes,0.0,Average,Hydro,B
331,Female,32,No,4.0,Engineer,No,,Low,Solar,C
332,Male,25,No,5.0,Healthcare,No,0.0,Low,Solar,C
333,Female,56,Yes,4.0,Artist,Yes,0.0,Average,Solar,C
334,Female,36,No,2.0,Entertainment,Yes,10.0,Low,Solar,A
335,Female,30,No,3.0,Healthcare,No,8.0,Low,Solar,A
336,Male,19,No,5.0,Healthcare,No,1.0,Low,Solar,D
337,Male,27,No,2.0,Healthcare,Yes,0.0,Low,Solar,A
338,Female,38,No,1.0,Doctor,Yes,14.0,Low,Solar,A
339,Male,46,Yes,2.0,Artist,Yes,8.0,Average,Solar,C
340,Male,29,No,1.0,Artist,Yes,3.0,Low,Solar,B
341,Male,51,Yes,4.0,Entertainment,No,1.0,Average,Not Interested,B
342,Male,55,Yes,1.0,Artist,No,0.0,Low,Solar,A
343,Female,69,Yes,1.0,Engineer,Yes,1.0,Low,Wind,A
344,Female,26,No,8.0,Healthcare,No,1.0,Low,Not Interested,C
345,Female,83,Yes,3.0,Lawyer,Yes,0.0,Low,Solar,A
346,Female,39,No,1.0,Healthcare,Yes,9.0,Low,Solar,D
347,Male,35,Yes,1.0,Artist,Yes,9.0,Low,Solar,A
348,Male,19,Yes,5.0,Marketing,No,2.0,High,Solar,C
349,Female,60,Yes,4.0,Artist,Yes,,High,Solar,C
350,Male,35,Yes,4.0,Artist,Yes,,Average,Solar,C
351,Female,53,No,1.0,Engineer,Yes,,Low,Solar,B
352,Female,86,Yes,,Lawyer,No,,Low,Solar,B
353,Female,29,No,3.0,Healthcare,No,1.0,Low,Solar,B
354,Female,26,No,1.0,Doctor,No,0.0,Low,Solar,D
355,Male,36,No,1.0,Engineer,Yes,8.0,Low,Solar,A
356,Female,22,No,4.0,Homemaker,No,0.0,Low,Solar,D
357,Male,19,No,5.0,Marketing,No,0.0,Low,Solar,A
358,Female,20,Yes,3.0,Lawyer,Yes,1.0,Average,Wind,A
359,Male,43,No,3.0,Healthcare,Yes,3.0,Low,Solar,D
360,Female,42,No,3.0,Artist,Yes,,Low,Solar,A
361,Male,43,No,2.0,Entertainment,Yes,1.0,Low,Hydro,A
362,Female,50,Yes,3.0,Engineer,Yes,4.0,High,Solar,B
363,Male,25,No,2.0,Entertainment,Yes,1.0,Low,Solar,A
364,Male,61,Yes,2.0,Artist,No,1.0,High,Solar,B
365,Female,28,Yes,2.0,Healthcare,Yes,0.0,Average,Solar,A
366,Male,38,No,1.0,Artist,Yes,1.0,Low,Solar,D
367,Male,25,No,3.0,Executive,No,12.0,Low,Solar,A
368,Female,18,No,5.0,Healthcare,No,9.0,Low,Hydro,D
369,Male,43,Yes,5.0,Entertainment,Yes,1.0,Average,Geothermal,C
370,Female,27,No,1.0,Artist,Yes,8.0,Low,Solar,B
371,Female,60,No,2.0,Entertainment,Yes,1.0,Low,Solar,D
372,Male,75,Yes,1.0,Lawyer,Yes,2.0,Low,Solar,D
373,Female,31,No,4.0,Doctor,No,,Low,Solar,D
374,Male,23,No,4.0,Doctor,No,6.0,Low,Biomass,D
375,Male,36,No,1.0,Artist,Yes,8.0,Low,Solar,A
376,Male,30,No,1.0,Doctor,No,1.0,Low,Wind,C
377,Male,56,Yes,2.0,Artist,No,1.0,Average,Solar,C
378,Female,52,Yes,2.0,Artist,Yes,2.0,Low,Solar,C
379,Male,39,Yes,1.0,Entertainment,Yes,0.0,Low,Solar,D
380,Female,35,No,1.0,Artist,No,5.0,Low,Solar,A
381,Male,33,Yes,2.0,Engineer,No,0.0,Average,Solar,B
382,Female,25,No,6.0,Artist,Yes,0.0,Low,Solar,A
383,Female,27,Yes,2.0,Artist,Yes,0.0,Average,Hydro,B
384,Male,35,Yes,3.0,Artist,Yes,1.0,High,Solar,A
385,Female,41,Yes,2.0,Artist,Yes,1.0,Average,Solar,C
386,Female,49,Yes,3.0,Artist,Yes,,Average,Not Interested,C
387,Female,46,Yes,2.0,Artist,No,8.0,Average,Solar,B
388,Female,31,No,2.0,Healthcare,No,,Low,Solar,D
389,Male,49,No,1.0,Doctor,Yes,,Low,Solar,C
390,Female,26,No,1.0,Artist,Yes,9.0,Low,Solar,A
391,Male,43,Yes,2.0,Doctor,Yes,13.0,High,Solar,B
392,Female,30,Yes,4.0,Artist,Yes,8.0,Low,Solar,A
393,Female,70,Yes,4.0,Artist,Yes,1.0,Average,Solar,C
394,Female,28,No,1.0,Artist,Yes,,Low,Solar,D
395,Female,89,Yes,1.0,Lawyer,No,3.0,High,Solar,D
396,Female,42,Yes,4.0,Homemaker,No,6.0,High,Solar,B
