Unnamed: 0,Gender,Age,Ever_Married,Family_Size,Profession,Graduated,Work_Experience,Energy_Consumption,Preferred_Renewable,Predicted_Group
68,0,18,0,3.0,5,0,0.0,2,2,D
69,0,57,1,2.0,0,1,0.0,1,6,C
70,0,18,0,4.0,3,0,0.0,2,4,D
71,0,71,1,2.0,0,1,1.0,1,4,C
72,0,69,1,2.0,0,1,0.0,0,4,C
73,0,42,0,4.0,5,1,0.0,2,4,A
74,0,36,0,2.0,0,1,0.0,2,4,B
75,0,80,1,2.0,7,1,1.0,1,4,B
76,1,69,1,1.0,3,0,2.552586938083121,2,4,A
77,0,67,1,3.0,0,1,0.0,0,4,C
78,0,47,1,4.0,1,1,1.0,0,4,C
79,0,49,1,2.0,0,1,0.0,0,4,C
80,0,32,1,4.0,2,0,9.0,2,4,A
81,0,65,1,4.0,7,1,1.0,0,4,B
82,0,78,1,2.0,7,0,0.0,1,4,A
83,1,33,0,6.0,0,1,1.0,2,4,D
84,1,48,1,1.0,0,1,1.0,2,4,A
85,1,58,1,5.0,4,1,1.0,0,4,C
86,0,83,1,2.8253778838504378,7,1,1.0,1,4,B
87,0,30,0,4.0,5,0,9.0,2,4,D
88,0,35,0,2.0,0,1,0.0,2,4,B
89,1,32,0,5.0,5,1,6.0,2,4,D
90,1,69,1,2.0,6,1,1.0,1,4,B
91,0,71,1,2.0,7,1,1.0,1,4,B
92,1,43,0,1.0,7,1,0.0,2,2,D
93,1,37,1,2.0,0,1,0.0,2,4,C
94,1,42,0,1.0,1,1,0.0,2,4,A
95,0,70,1,2.0,1,1,1.0,0,4,C
96,1,46,0,2.0,0,1,0.0,2,4,B
97,1,21,0,2.8253778838504378,5,0,2.552586938083121,2,5,D
98,1,70,1,2.0,0,1,0.0,0,4,C
99,0,61,1,2.8253778838504378,0,1,1.0,2,4,C
100,1,60,1,1.0,3,1,1.0,2,4,A
101,1,37,0,2.0,3,1,0.0,2,0,A
102,1,30,1,2.0,5,1,1.0,2,4,A
103,0,32,0,3.0,2,1,1.0,2,4,A
104,1,26,1,3.0,4,1,0.0,2,4,D
105,1,42,0,1.0,8,1,0.0,2,4,D
106,0,18,0,2.8253778838504378,1,0,2.552586938083121,2,4,D
107,1,80,1,2.8253778838504378,4,0,2.552586938083121,2,4,D
108,1,29,1,2.0,5,1,8.0,1,4,D
109,0,88,1,2.0,0,1,1.0,1,4,C
110,1,70,1,1.0,7,1,1.0,2,4,A
111,0,50,1,4.0,0,1,1.0,1,4,C
112,1,43,1,4.0,1,1,4.0,0,6,C
113,1,51,1,2.0,0,1,6.0,0,4,C
114,0,50,1,3.0,0,1,2.552586938083121,1,4,C
115,0,74,1,1.0,6,0,2.552586938083121,2,4,A
116,0,29,0,3.0,5,1,2.552586938083121,2,4,D
117,0,32,0,2.0,2,1,2.552586938083121,2,4,A
118,1,60,1,2.0,4,0,0.0,2,4,A
119,1,46,0,1.0,0,1,2.0,2,4,C
120,0,81,1,2.0,8,1,0.0,2,4,B
121,1,41,1,7.0,2,0,2.552586938083121,0,2,D
122,1,22,1,4.0,4,0,0.0,1,4,A
123,1,37,1,3.0,0,1,0.0,0,4,C
124,1,43,1,1.0,2,0,0.0,2,4,A
125,1,50,1,3.0,0,1,1.0,0,4,C
126,0,35,1,2.0,0,1,1.0,0,3,B
127,1,65,1,2.0,7,0,1.0,1,4,B
128,0,41,0,4.0,2,1,0.0,2,4,B
129,1,28,0,2.0,3,0,8.0,2,4,A
130,1,55,1,2.0,0,1,4.0,0,4,C
131,0,58,1,2.0,7,0,2.552586938083121,1,4,A
132,1,28,0,3.0,5,0,1.0,2,4,C
133,1,48,1,4.0,0,1,2.552586938083121,0,3,C
134,0,78,1,2.0,1,0,1.0,1,4,A
135,0,35,0,3.0,1,1,1.0,2,4,A
136,0,76,1,2.0,7,1,0.0,1,4,C
137,0,88,1,2.0,7,1,1.0,1,4,B
138,1,61,1,3.0,0,1,1.0,0,4,C
139,0,79,1,2.0,0,1,2.552586938083121,1,4,C
140,1,30,0,4.0,1,0,0.0,2,4,D
141,1,69,1,2.0,4,0,0.0,1,4,B
142,1,65,1,2.0,1,1,1.0,0,4,C
143,0,70,1,2.0,7,1,1.0,2,4,B
144,1,32,1,4.0,5,0,0.0,0,4,D
145,1,46,1,4.0,3,1,2.552586938083121,2,4,A
146,1,21,0,5.0,5,0,8.0,2,4,D
147,1,47,1,3.0,1,1,2.552586938083121,2,4,A
148,0,39,0,2.0,8,0,0.0,2,2,D
149,1,85,1,3.0,7,1,0.0,2,4,A
150,0,66,0,2.0,0,1,0.0,2,4,B
151,0,50,1,2.0,0,1,1.0,0,4,C
152,0,42,1,3.0,0,1,0.0,0,4,C
153,1,53,1,1.0,0,1,9.0,2,4,A
154,1,37,1,2.0,0,1,2.552586938083121,2,4,C
155,0,45,1,2.0,0,1,1.0,2,4,C
156,0,66,0,1.0,7,0,2.552586938083121,2,4,D
157,1,33,0,2.8253778838504378,8,0,2.552586938083121,2,4,D
158,1,40,1,1.0,0,1,4.0,2,4,A
159,0,35,1,1.0,0,1,1.0,2,5,A
160,1,27,0,2.0,0,1,2.552586938083121,2,4,B
161,0,48,1,3.0,0,1,0.0,0,2,C
162,0,56,1,2.0,0,1,0.0,0,4,C
163,1,25,1,6.0,5,1,2.552586938083121,2,4,D
164,0,30,0,8.0,0,0,2.552586938083121,2,4,C
165,0,46,1,3.0,3,1,7.0,2,4,A
166,1,49,1,2.0,7,0,0.0,2,4,A
167,1,72,1,4.0,8,0,1.0,2,4,D
168,0,79,1,2.0,7,1,2.552586938083121,1,4,C
169,0,35,0,3.0,0,1,2.552586938083121,2,4,B
170,0,77,1,1.0,7,1,0.0,2,4,B
171,0,79,1,2.0,7,0,2.552586938083121,1,4,A
172,1,42,1,4.0,5,1,6.0,1,4,A
173,0,42,0,1.0,2,1,2.552586938083121,2,4,A
174,1,67,1,2.0,7,0,2.552586938083121,1,5,A
175,1,26,0,1.0,5,1,1.0,2,4,D
176,1,67,1,2.0,7,1,1.0,1,4,B
177,1,55,1,1.0,2,1,1.0,2,4,A
178,0,56,1,2.0,0,1,2.552586938083121,0,4,C
179,1,63,1,4.0,0,1,2.552586938083121,0,4,C
180,1,46,1,2.0,0,1,8.0,0,4,C
181,1,32,1,2.0,5,1,7.0,2,4,D
182,0,49,0,1.0,6,1,13.0,2,4,A
183,1,59,1,2.0,0,1,1.0,1,4,C
184,1,22,0,5.0,5,0,8.0,2,2,D
185,0,28,0,1.0,0,1,8.0,2,4,B
186,1,28,0,3.0,3,1,1.0,2,4,D
187,1,75,1,1.0,7,1,2.0,2,4,D
188,0,37,1,2.0,0,1,13.0,2,4,C
189,1,50,1,2.0,1,1,0.0,0,4,C
190,0,50,1,4.0,4,1,1.0,1,4,C
191,0,88,1,2.8253778838504378,7,0,2.552586938083121,2,4,B
192,0,35,1,5.0,0,1,3.0,0,2,C
193,0,35,0,2.8253778838504378,0,0,2.552586938083121,2,3,A
194,1,31,1,3.0,3,0,2.552586938083121,0,4,D
195,1,46,1,1.0,0,1,0.0,2,4,B
196,0,50,1,4.0,0,1,1.0,0,4,C
197,0,33,0,3.0,0,1,7.0,2,4,A
198,1,49,1,1.0,0,1,0.0,2,4,B
199,1,52,1,3.0,0,1,1.0,0,4,C
200,1,25,0,3.0,5,0,0.0,2,4,C
201,0,41,1,1.0,0,1,6.0,2,4,C
202,0,68,1,2.0,0,1,0.0,1,4,C
203,0,79,1,2.0,7,0,2.0,1,4,A
204,1,40,1,5.0,3,1,5.0,0,4,B
205,0,62,0,1.0,1,1,2.552586938083121,2,4,B
206,1,21,0,2.0,5,0,2.552586938083121,2,4,D
207,0,20,0,4.0,5,0,2.552586938083121,2,5,D
208,1,28,0,5.0,3,1,1.0,2,4,C
209,1,57,1,2.0,1,1,0.0,0,2,B
210,0,25,0,2.8253778838504378,5,0,8.0,2,4,D
211,0,63,1,1.0,2,0,8.0,2,4,B
212,0,26,1,3.0,3,0,1.0,2,4,D
213,0,50,1,3.0,8,0,0.0,1,2,B
214,0,30,0,4.0,8,0,9.0,2,0,A
215,0,26,0,4.0,2,0,2.552586938083121,2,2,A
216,1,61,1,3.0,0,1,1.0,0,4,C
217,1,42,0,1.0,0,1,3.0,2,4,A
218,1,88,1,2.0,0,1,4.0,2,4,A
219,1,45,1,3.0,0,0,3.0,0,4,C
220,0,86,1,1.0,7,1,1.0,2,4,B
221,1,18,0,5.0,5,0,1.0,2,4,D
222,1,37,0,1.0,3,1,2.552586938083121,2,4,A
223,1,46,1,1.0,0,1,1.0,2,4,A
224,1,58,1,2.0,0,0,2.552586938083121,0,4,C
225,0,72,1,2.0,7,1,8.0,1,4,C
226,0,50,1,3.0,0,1,0.0,1,4,C
227,0,56,1,3.0,2,1,8.0,0,4,C
228,1,46,0,3.0,0,0,3.0,2,1,B
229,1,57,1,1.0,0,1,2.552586938083121,2,4,A
230,1,42,1,6.0,4,0,9.0,1,4,B
231,1,20,0,4.0,5,0,2.552586938083121,2,4,D
232,1,19,0,3.0,5,0,2.552586938083121,2,4,D
233,1,19,0,4.0,5,0,4.0,2,4,D
234,1,68,1,1.0,4,1,1.0,2,4,A
235,0,40,1,2.0,0,1,0.0,2,4,B
236,1,82,1,2.0,7,0,2.552586938083121,1,4,A
237,0,23,0,3.0,5,0,1.0,2,4,D
238,0,84,1,2.0,7,0,1.0,1,4,D
239,1,51,1,4.0,0,0,0.0,2,5,A
240,1,59,1,2.0,0,1,1.0,0,4,C
241,0,41,1,5.0,0,1,1.0,0,4,C
242,1,51,1,2.0,4,0,1.0,1,4,B
243,0,62,1,3.0,0,0,2.552586938083121,0,4,C
244,0,62,1,4.0,7,0,1.0,1,2,B
245,0,38,1,1.0,0,1,8.0,2,4,A
246,1,18,0,4.0,0,0,2.552586938083121,2,2,D
247,1,22,0,4.0,5,0,3.0,2,4,D
248,0,30,1,3.0,1,1,0.0,2,6,A
249,0,62,1,1.0,3,1,1.0,2,4,B
250,0,43,0,3.0,3,0,1.0,2,4,A
251,0,32,0,1.0,2,1,2.552586938083121,2,6,A
252,1,37,1,2.8253778838504378,0,1,1.0,1,4,A
253,1,48,0,1.0,0,1,1.0,2,4,B
254,0,31,0,2.0,2,1,4.0,2,4,A
255,1,46,1,4.0,0,0,4.0,1,4,B
256,0,49,1,4.0,2,0,1.0,0,4,B
257,1,43,1,4.0,1,0,2.552586938083121,0,4,B
258,1,42,0,1.0,0,1,8.0,2,4,A
259,1,37,1,2.0,1,1,2.552586938083121,2,4,D
260,1,72,1,2.0,3,1,2.552586938083121,1,4,C
261,1,71,1,1.0,4,0,2.552586938083121,1,4,C
262,0,39,0,1.0,2,1,1.0,2,2,A
263,1,20,0,5.0,5,0,0.0,2,0,D
264,0,26,0,1.0,0,0,2.552586938083121,2,3,D
265,1,72,1,1.0,4,1,1.0,2,4,A
266,1,70,1,1.0,5,1,0.0,2,2,D
267,1,45,0,1.0,0,1,2.0,2,4,A
268,1,33,0,5.0,4,0,7.0,2,4,A
269,1,50,1,3.0,3,0,0.0,0,4,A
270,1,31,0,1.0,3,1,6.0,2,4,D
271,0,74,1,2.0,7,0,1.0,1,4,D
272,0,68,1,2.0,0,0,2.552586938083121,1,4,C
273,0,49,0,1.0,0,1,2.552586938083121,2,4,C
274,1,49,1,2.0,8,1,0.0,1,4,B
275,0,18,0,3.0,5,0,1.0,2,4,D
276,0,85,1,2.0,3,0,2.0,0,4,B
277,0,38,0,4.0,3,1,2.552586938083121,2,4,A
278,1,28,1,4.0,0,0,0.0,2,4,A
279,1,46,1,2.0,0,0,3.0,0,4,C
280,1,59,1,3.0,6,1,9.0,0,4,C
281,0,56,1,2.0,0,1,0.0,2,4,C
282,1,69,1,1.0,0,1,0.0,2,4,B
283,1,66,1,2.0,0,1,0.0,2,4,B
284,1,18,0,6.0,5,0,4.0,2,0,D
285,1,36,0,1.0,0,1,4.0,2,2,A
286,1,31,0,2.0,8,1,1.0,2,6,A
287,1,67,1,2.0,4,0,1.0,1,2,D
288,0,39,0,1.0,0,1,7.0,2,4,B
289,1,42,0,3.0,3,1,4.0,2,4,A
290,1,50,1,2.0,0,1,0.0,2,4,B
291,0,37,1,2.0,0,1,0.0,0,4,C
292,0,59,0,1.0,0,1,0.0,2,4,C
293,1,50,1,2.0,0,1,8.0,2,4,C
294,1,48,1,3.0,0,1,8.0,2,0,A
295,1,55,1,1.0,0,1,9.0,2,4,A
296,0,33,0,3.0,1,1,1.0,2,4,A
297,1,38,0,1.0,0,1,13.0,2,3,A
298,1,43,0,2.0,0,1,0.0,2,4,A
299,0,53,0,2.0,0,1,0.0,2,4,C
300,1,37,0,1.0,3,1,0.0,2,4,A
301,0,36,0,1.0,0,1,5.0,2,4,A
302,1,36,0,1.0,0,1,5.0,2,4,A
303,1,62,1,1.0,0,1,1.0,2,4,B
304,0,38,0,2.0,0,0,2.0,2,4,B
305,1,55,0,1.0,3,1,1.0,2,4,A
306,1,60,1,2.0,3,0,1.0,0,4,B
307,0,36,1,2.0,3,1,7.0,0,1,A
308,1,30,0,9.0,3,0,5.0,2,6,A
309,0,66,0,3.0,3,0,4.0,2,4,D
310,1,45,1,1.0,3,1,1.0,2,4,A
311,0,40,0,2.8253778838504378,3,1,6.0,2,4,A
312,0,45,1,3.0,3,1,5.0,2,4,A
313,1,41,1,1.0,0,1,2.0,2,4,A
314,0,62,1,1.0,6,1,4.0,2,1,A
315,1,61,1,2.0,0,1,1.0,2,4,B
316,0,50,1,2.0,0,1,4.0,2,4,C
317,1,53,1,2.0,3,1,3.0,2,4,A
318,1,39,0,1.0,0,1,7.0,2,4,A
319,0,86,0,1.0,7,1,0.0,2,6,B
320,1,50,1,1.0,0,1,1.0,2,2,A
321,0,46,0,2.8253778838504378,3,0,4.0,2,2,A
322,1,52,0,1.0,8,1,0.0,2,6,D
323,0,45,0,1.0,8,0,0.0,2,4,D
324,0,37,0,1.0,0,1,9.0,2,4,A
325,0,36,1,1.0,2,1,3.0,2,4,D
326,0,25,0,1.0,0,1,2.552586938083121,2,4,B
327,0,40,0,1.0,1,0,1.0,2,4,A
328,1,41,1,2.0,0,1,11.0,1,4,B
329,0,25,1,2.0,6,1,2.552586938083121,1,4,A
330,1,80,1,2.0,7,0,4.0,0,4,A
331,0,46,0,1.0,0,1,3.0,2,6,A
332,0,81,1,1.0,7,1,1.0,2,4,B
333,1,40,1,2.0,0,1,0.0,2,6,B
334,1,49,0,1.0,0,1,1.0,2,6,B
335,0,26,0,3.0,5,1,8.0,2,6,D
336,1,26,0,1.0,0,1,1.0,2,2,A
337,0,47,0,1.0,0,1,0.0,2,2,B
338,0,71,1,2.8253778838504378,3,1,0.0,2,4,B
339,1,48,1,5.0,2,1,1.0,0,4,C
340,1,39,1,3.0,0,1,1.0,0,0,C
341,1,50,1,2.0,0,1,8.0,0,4,C
342,0,46,0,2.0,0,1,1.0,2,4,C
343,1,26,1,2.0,2,1,8.0,0,6,A
344,0,42,1,2.0,0,1,1.0,2,4,C
345,0,36,1,2.0,0,1,4.0,2,4,C
346,1,29,0,4.0,5,1,1.0,2,4,D
347,0,39,0,1.0,0,0,1.0,2,4,B
348,0,41,0,3.0,0,1,0.0,2,4,A
349,0,48,1,2.8253778838504378,8,1,8.0,2,4,A
350,1,40,1,3.0,3,1,9.0,1,4,B
351,0,25,0,3.0,5,1,4.0,2,4,D
352,0,41,1,2.0,0,1,7.0,2,4,C
353,1,37,0,1.0,0,1,11.0,2,4,A
354,0,53,0,2.8253778838504378,1,1,0.0,2,6,A
355,0,51,1,3.0,2,1,0.0,0,6,C
356,1,73,1,3.0,3,1,1.0,0,4,C
357,1,61,1,5.0,0,0,1.0,2,2,A
358,1,39,0,1.0,3,1,5.0,2,6,A
359,0,19,0,4.0,5,0,0.0,2,0,D
360,0,19,0,7.0,5,0,0.0,2,0,D
361,0,23,0,5.0,3,0,1.0,2,0,B
362,1,83,1,2.0,4,1,0.0,1,0,C
363,0,62,1,2.0,0,1,1.0,1,4,C
364,0,43,0,4.0,0,1,9.0,2,4,A
365,0,27,0,5.0,0,0,0.0,2,0,A
366,1,50,0,1.0,0,1,0.0,2,4,B
367,0,23,0,6.0,3,0,0.0,2,0,B
368,1,35,0,2.0,3,0,9.0,2,4,A
369,1,32,0,3.0,5,0,9.0,2,4,D
370,0,42,0,3.0,1,1,2.0,2,4,A
371,1,33,0,1.0,3,0,13.0,2,4,D
372,0,28,0,3.0,3,1,9.0,2,4,D
373,1,35,1,2.0,0,1,1.0,2,3,A
374,0,35,0,2.0,5,1,9.0,2,4,D
375,0,39,1,2.0,3,1,0.0,2,4,A
376,1,28,1,1.0,0,1,6.0,2,4,A
377,1,35,1,6.0,3,1,11.0,2,4,A
378,0,45,1,2.0,2,1,0.0,0,4,C
379,0,73,1,2.8253778838504378,7,1,4.0,1,4,B
380,1,52,0,1.0,3,0,1.0,2,4,A
381,1,28,0,3.0,5,0,0.0,2,4,C
382,1,38,1,3.0,5,1,9.0,2,4,D
383,0,42,0,1.0,3,1,8.0,2,4,A
384,0,26,0,2.8253778838504378,1,0,9.0,2,4,D
385,0,27,0,2.0,5,1,7.0,2,4,D
386,1,41,1,2.0,0,1,0.0,2,4,B
387,1,41,1,2.0,0,1,1.0,2,4,A
388,1,47,1,4.0,4,1,0.0,1,4,C
389,1,35,0,1.0,1,1,8.0,2,4,A
390,0,88,0,1.0,7,1,0.0,2,4,D
391,0,46,0,1.0,0,1,6.0,2,4,B
392,0,41,1,2.0,0,1,3.0,2,4,C
393,0,30,0,5.0,1,1,10.0,2,4,D
394,1,43,1,2.0,1,1,12.0,2,4,A
395,0,29,0,2.0,3,1,9.0,2,4,A
396,1,48,1,1.0,0,1,1.0,2,4,A
397,0,61,1,6.0,0,1,4.0,0,2,C
398,0,51,0,1.0,7,1,2.0,2,4,D
399,0,38,0,1.0,0,1,2.0,2,4,B
400,0,49,1,1.0,3,1,0.0,1,4,D
401,0,43,0,1.0,5,1,9.0,2,4,D
402,1,27,0,4.0,5,0,14.0,2,4,D
403,0,35,0,6.0,1,0,14.0,2,3,D
404,0,39,1,2.0,1,0,4.0,0,3,B
405,0,52,1,2.8253778838504378,2,0,9.0,2,4,A
406,0,38,0,1.0,2,1,10.0,2,4,A
407,0,30,0,2.0,3,1,12.0,2,4,A
408,0,43,0,1.0,0,1,10.0,2,4,C
409,0,42,0,4.0,3,0,10.0,2,4,A
410,0,46,0,1.0,0,1,2.0,2,3,D
411,0,47,0,2.0,0,1,11.0,2,4,A
412,0,32,0,5.0,3,0,13.0,2,3,D
413,0,53,1,2.0,0,1,11.0,0,4,C
414,0,43,1,2.8253778838504378,0,1,12.0,0,4,C
415,0,39,0,2.0,0,1,0.0,2,4,B
416,1,42,1,2.0,0,1,3.0,0,4,C
417,0,37,0,1.0,0,1,3.0,2,6,A
418,1,19,0,4.0,5,0,0.0,2,4,D
419,1,30,0,1.0,8,0,1.0,2,6,D
420,0,49,1,1.0,0,1,0.0,2,2,A
421,1,55,1,3.0,5,1,0.0,2,2,D
422,0,59,1,2.0,1,1,1.0,2,2,A
423,0,46,1,2.0,0,1,2.552586938083121,2,4,C
424,0,27,1,2.0,4,1,9.0,1,4,A
425,0,25,0,2.0,0,1,1.0,2,4,A
426,0,37,0,1.0,1,1,1.0,2,4,A
427,1,38,0,3.0,0,1,9.0,2,4,A
428,1,29,0,3.0,3,1,9.0,2,4,D
429,1,28,0,2.0,0,1,11.0,2,4,A
430,0,27,1,2.0,8,1,8.0,2,4,D
431,0,42,0,2.0,3,0,3.0,2,4,A
432,0,43,0,2.0,0,1,14.0,2,4,A
433,0,40,1,2.0,5,1,8.0,0,4,D
434,1,41,0,3.0,0,1,9.0,2,4,A
435,1,46,1,1.0,3,0,8.0,2,5,A
436,0,32,0,3.0,5,1,9.0,2,4,D
437,0,56,0,1.0,3,1,1.0,2,4,A
438,1,28,0,1.0,8,1,12.0,2,4,D
439,0,25,0,3.0,0,1,0.0,2,3,A
440,1,42,1,7.0,0,1,6.0,2,4,A
441,0,41,0,2.0,3,1,5.0,2,4,A
442,1,36,1,2.0,5,1,3.0,2,4,D
443,0,42,0,1.0,0,1,2.0,2,4,B
444,0,42,0,4.0,0,1,8.0,2,4,A
445,0,55,0,2.0,3,1,1.0,2,4,A
446,1,52,1,2.8253778838504378,3,1,1.0,1,4,C
447,0,47,0,1.0,2,1,1.0,2,4,A
448,1,57,1,3.0,0,1,2.0,1,4,C
449,0,26,0,1.0,0,1,8.0,2,4,A
450,0,28,0,2.0,0,0,5.0,2,4,A
451,0,37,0,1.0,1,1,0.0,2,4,A
452,1,89,1,1.0,7,0,0.0,2,6,A
453,1,25,0,1.0,8,0,2.0,2,6,D
454,1,50,1,4.0,4,1,1.0,1,2,B
455,0,42,0,1.0,1,1,5.0,2,4,A
456,1,48,0,1.0,0,1,2.552586938083121,2,4,C
457,0,37,0,2.8253778838504378,3,1,9.0,2,6,A
458,0,30,0,5.0,2,0,1.0,2,6,D
459,1,26,1,4.0,3,0,2.0,2,6,D
460,0,47,1,2.0,0,1,2.552586938083121,0,4,C
461,1,36,0,4.0,5,0,2.552586938083121,2,2,D
462,1,53,1,4.0,1,0,2.552586938083121,0,6,B
463,1,30,0,6.0,3,0,1.0,2,6,D
464,0,20,0,7.0,5,0,4.0,2,6,D
465,0,19,0,5.0,8,0,8.0,2,6,B
466,1,19,0,6.0,5,0,9.0,2,6,D
467,0,37,0,2.8253778838504378,8,0,12.0,2,6,D
468,1,20,0,6.0,5,0,0.0,2,6,D
469,1,39,1,3.0,4,0,2.552586938083121,0,6,B
470,0,26,0,3.0,2,1,1.0,2,6,A
471,1,31,0,4.0,1,0,0.0,2,6,D
472,1,31,1,3.0,5,1,2.0,1,6,A
473,0,41,1,3.0,2,1,9.0,0,6,B
474,0,32,1,2.0,6,0,2.552586938083121,0,2,D
475,0,42,1,3.0,6,1,0.0,0,6,A
476,0,89,1,2.8253778838504378,7,0,1.0,2,6,B
477,1,78,1,3.0,7,0,1.0,1,6,B
478,0,65,1,2.0,7,1,1.0,2,6,C
479,0,48,1,2.8253778838504378,6,1,0.0,0,6,C
480,1,36,0,2.0,0,1,8.0,2,6,A
481,0,55,1,4.0,0,1,0.0,0,6,C
482,1,52,1,2.0,2,1,0.0,0,6,C
483,1,52,1,3.0,6,1,7.0,0,6,C
484,0,41,1,1.0,0,1,1.0,2,6,A
485,0,36,1,1.0,2,1,2.552586938083121,2,6,C
486,0,37,0,1.0,2,0,7.0,2,6,A
487,0,40,0,2.0,5,0,1.0,2,5,C
488,1,38,1,2.0,6,1,2.552586938083121,0,6,A
489,1,25,0,3.0,1,0,0.0,2,6,D
490,0,33,0,4.0,2,1,1.0,2,6,A
491,1,26,0,1.0,0,1,1.0,2,6,B
492,0,28,0,1.0,3,0,0.0,2,6,D
493,1,18,0,6.0,8,0,0.0,2,6,D
494,1,52,0,3.0,3,0,0.0,2,6,D
495,1,26,0,2.0,5,1,0.0,2,6,A
496,1,18,0,4.0,5,0,0.0,2,6,D
497,0,20,0,2.0,8,0,1.0,2,6,D
498,0,36,1,3.0,1,1,0.0,0,6,A
499,1,27,1,2.0,1,1,8.0,0,2,A
500,1,21,0,5.0,5,0,2.552586938083121,2,3,D
501,1,27,0,4.0,3,1,8.0,2,6,D
502,0,28,0,2.8253778838504378,5,1,2.552586938083121,2,6,D
503,1,63,1,4.0,7,1,2.552586938083121,2,6,A
504,1,48,0,2.8253778838504378,3,1,2.552586938083121,2,6,A
505,1,80,1,2.0,7,1,1.0,2,6,A
506,0,71,1,3.0,7,1,7.0,1,6,A
507,1,47,1,4.0,1,0,8.0,1,4,D
508,0,22,0,4.0,0,0,1.0,2,6,D
509,1,35,1,2.0,0,1,2.552586938083121,1,6,A
510,0,40,0,6.0,3,0,2.552586938083121,2,6,D
511,0,18,0,2.8253778838504378,5,0,2.552586938083121,2,6,D
512,0,26,0,4.0,0,1,0.0,2,6,A
513,0,73,1,5.0,7,1,2.552586938083121,2,5,D
514,1,86,1,1.0,7,1,2.552586938083121,2,6,B
