Unnamed: 0,Gender,Age,Ever_Married,Family_Size,Profession,Graduated,Work_Experience,Energy_Consumption,Preferred_Renewable,Groups
83,1,33,0,6.0,0,1,1.0,2,4,D
84,1,48,1,1.0,0,1,1.0,2,4,B
85,1,58,1,5.0,4,1,1.0,0,4,A
86,0,83,1,2.8253778838504378,7,1,1.0,1,4,C
87,0,30,0,4.0,5,0,9.0,2,4,D
88,0,35,0,2.0,0,1,0.0,2,4,B
89,1,32,0,5.0,5,1,6.0,2,4,D
90,1,69,1,2.0,6,1,1.0,1,4,C
91,0,71,1,2.0,7,1,1.0,1,4,C
92,1,43,0,1.0,7,1,0.0,2,2,B
93,1,37,1,2.0,0,1,0.0,2,4,B
94,1,42,0,1.0,1,1,0.0,2,4,B
95,0,70,1,2.0,1,1,1.0,0,4,A
96,1,46,0,2.0,0,1,0.0,2,4,B
97,1,21,0,2.8253778838504378,5,0,2.552586938083121,2,5,D
98,1,70,1,2.0,0,1,0.0,0,4,A
99,0,61,1,2.8253778838504378,0,1,1.0,2,4,B
100,1,60,1,1.0,3,1,1.0,2,4,C
101,1,37,0,2.0,3,1,0.0,2,0,B
102,1,30,1,2.0,5,1,1.0,2,4,B
103,0,32,0,3.0,2,1,1.0,2,4,B
104,1,26,1,3.0,4,1,0.0,2,4,B
105,1,42,0,1.0,8,1,0.0,2,4,B
106,0,18,0,2.8253778838504378,1,0,2.552586938083121,2,4,D
107,1,80,1,2.8253778838504378,4,0,2.552586938083121,2,4,C
108,1,29,1,2.0,5,1,8.0,1,4,B
109,0,88,1,2.0,0,1,1.0,1,4,C
110,1,70,1,1.0,7,1,1.0,2,4,C
111,0,50,1,4.0,0,1,1.0,1,4,A
112,1,43,1,4.0,1,1,4.0,0,6,A
113,1,51,1,2.0,0,1,6.0,0,4,A
114,0,50,1,3.0,0,1,2.552586938083121,1,4,A
115,0,74,1,1.0,6,0,2.552586938083121,2,4,C
116,0,29,0,3.0,5,1,2.552586938083121,2,4,B
117,0,32,0,2.0,2,1,2.552586938083121,2,4,B
118,1,60,1,2.0,4,0,0.0,2,4,C
119,1,46,0,1.0,0,1,2.0,2,4,B
120,0,81,1,2.0,8,1,0.0,2,4,C
121,1,41,1,7.0,2,0,2.552586938083121,0,2,A
122,1,22,1,4.0,4,0,0.0,1,4,D
123,1,37,1,3.0,0,1,0.0,0,4,A
124,1,43,1,1.0,2,0,0.0,2,4,B
125,1,50,1,3.0,0,1,1.0,0,4,A
126,0,35,1,2.0,0,1,1.0,0,3,A
127,1,65,1,2.0,7,0,1.0,1,4,C
128,0,41,0,4.0,2,1,0.0,2,4,B
129,1,28,0,2.0,3,0,8.0,2,4,D
130,1,55,1,2.0,0,1,4.0,0,4,A
131,0,58,1,2.0,7,0,2.552586938083121,1,4,C
132,1,28,0,3.0,5,0,1.0,2,4,D
133,1,48,1,4.0,0,1,2.552586938083121,0,3,A
134,0,78,1,2.0,1,0,1.0,1,4,C
135,0,35,0,3.0,1,1,1.0,2,4,B
136,0,76,1,2.0,7,1,0.0,1,4,C
137,0,88,1,2.0,7,1,1.0,1,4,C
138,1,61,1,3.0,0,1,1.0,0,4,A
139,0,79,1,2.0,0,1,2.552586938083121,1,4,A
140,1,30,0,4.0,1,0,0.0,2,4,D
141,1,69,1,2.0,4,0,0.0,1,4,C
142,1,65,1,2.0,1,1,1.0,0,4,A
143,0,70,1,2.0,7,1,1.0,2,4,C
144,1,32,1,4.0,5,0,0.0,0,4,A
145,1,46,1,4.0,3,1,2.552586938083121,2,4,B
146,1,21,0,5.0,5,0,8.0,2,4,D
147,1,47,1,3.0,1,1,2.552586938083121,2,4,B
148,0,39,0,2.0,8,0,0.0,2,2,D
149,1,85,1,3.0,7,1,0.0,2,4,C
150,0,66,0,2.0,0,1,0.0,2,4,B
151,0,50,1,2.0,0,1,1.0,0,4,A
152,0,42,1,3.0,0,1,0.0,0,4,A
153,1,53,1,1.0,0,1,9.0,2,4,B
154,1,37,1,2.0,0,1,2.552586938083121,2,4,B
155,0,45,1,2.0,0,1,1.0,2,4,B
156,0,66,0,1.0,7,0,2.552586938083121,2,4,C
157,1,33,0,2.8253778838504378,8,0,2.552586938083121,2,4,D
158,1,40,1,1.0,0,1,4.0,2,4,B
159,0,35,1,1.0,0,1,1.0,2,5,B
160,1,27,0,2.0,0,1,2.552586938083121,2,4,B
161,0,48,1,3.0,0,1,0.0,0,2,A
162,0,56,1,2.0,0,1,0.0,0,4,A
163,1,25,1,6.0,5,1,2.552586938083121,2,4,D
164,0,30,0,8.0,0,0,2.552586938083121,2,4,D
165,0,46,1,3.0,3,1,7.0,2,4,B
166,1,49,1,2.0,7,0,0.0,2,4,C
167,1,72,1,4.0,8,0,1.0,2,4,C
168,0,79,1,2.0,7,1,2.552586938083121,1,4,C
169,0,35,0,3.0,0,1,2.552586938083121,2,4,B
170,0,77,1,1.0,7,1,0.0,2,4,C
171,0,79,1,2.0,7,0,2.552586938083121,1,4,C
172,1,42,1,4.0,5,1,6.0,1,4,A
173,0,42,0,1.0,2,1,2.552586938083121,2,4,B
174,1,67,1,2.0,7,0,2.552586938083121,1,5,C
175,1,26,0,1.0,5,1,1.0,2,4,B
176,1,67,1,2.0,7,1,1.0,1,4,C
177,1,55,1,1.0,2,1,1.0,2,4,B
178,0,56,1,2.0,0,1,2.552586938083121,0,4,A
179,1,63,1,4.0,0,1,2.552586938083121,0,4,A
180,1,46,1,2.0,0,1,8.0,0,4,A
181,1,32,1,2.0,5,1,7.0,2,4,B
182,0,49,0,1.0,6,1,13.0,2,4,B
183,1,59,1,2.0,0,1,1.0,1,4,A
184,1,22,0,5.0,5,0,8.0,2,2,D
185,0,28,0,1.0,0,1,8.0,2,4,B
186,1,28,0,3.0,3,1,1.0,2,4,B
187,1,75,1,1.0,7,1,2.0,2,4,C
188,0,37,1,2.0,0,1,13.0,2,4,B
189,1,50,1,2.0,1,1,0.0,0,4,A
190,0,50,1,4.0,4,1,1.0,1,4,A
191,0,88,1,2.8253778838504378,7,0,2.552586938083121,2,4,C
192,0,35,1,5.0,0,1,3.0,0,2,A
193,0,35,0,2.8253778838504378,0,0,2.552586938083121,2,3,D
194,1,31,1,3.0,3,0,2.552586938083121,0,4,A
195,1,46,1,1.0,0,1,0.0,2,4,B
196,0,50,1,4.0,0,1,1.0,0,4,A
197,0,33,0,3.0,0,1,7.0,2,4,B
198,1,49,1,1.0,0,1,0.0,2,4,B
199,1,52,1,3.0,0,1,1.0,0,4,A
200,1,25,0,3.0,5,0,0.0,2,4,D
201,0,41,1,1.0,0,1,6.0,2,4,B
202,0,68,1,2.0,0,1,0.0,1,4,A
203,0,79,1,2.0,7,0,2.0,1,4,C
204,1,40,1,5.0,3,1,5.0,0,4,A
205,0,62,0,1.0,1,1,2.552586938083121,2,4,B
206,1,21,0,2.0,5,0,2.552586938083121,2,4,D
207,0,20,0,4.0,5,0,2.552586938083121,2,5,D
208,1,28,0,5.0,3,1,1.0,2,4,D
209,1,57,1,2.0,1,1,0.0,0,2,A
210,0,25,0,2.8253778838504378,5,0,8.0,2,4,D
211,0,63,1,1.0,2,0,8.0,2,4,B
212,0,26,1,3.0,3,0,1.0,2,4,D
213,0,50,1,3.0,8,0,0.0,1,2,C
214,0,30,0,4.0,8,0,9.0,2,0,D
215,0,26,0,4.0,2,0,2.552586938083121,2,2,D
216,1,61,1,3.0,0,1,1.0,0,4,A
217,1,42,0,1.0,0,1,3.0,2,4,B
218,1,88,1,2.0,0,1,4.0,2,4,C
219,1,45,1,3.0,0,0,3.0,0,4,A
220,0,86,1,1.0,7,1,1.0,2,4,C
221,1,18,0,5.0,5,0,1.0,2,4,D
222,1,37,0,1.0,3,1,2.552586938083121,2,4,B
223,1,46,1,1.0,0,1,1.0,2,4,B
224,1,58,1,2.0,0,0,2.552586938083121,0,4,A
225,0,72,1,2.0,7,1,8.0,1,4,C
226,0,50,1,3.0,0,1,0.0,1,4,A
227,0,56,1,3.0,2,1,8.0,0,4,A
228,1,46,0,3.0,0,0,3.0,2,1,D
229,1,57,1,1.0,0,1,2.552586938083121,2,4,B
230,1,42,1,6.0,4,0,9.0,1,4,D
231,1,20,0,4.0,5,0,2.552586938083121,2,4,D
232,1,19,0,3.0,5,0,2.552586938083121,2,4,D
233,1,19,0,4.0,5,0,4.0,2,4,D
234,1,68,1,1.0,4,1,1.0,2,4,C
235,0,40,1,2.0,0,1,0.0,2,4,B
236,1,82,1,2.0,7,0,2.552586938083121,1,4,C
237,0,23,0,3.0,5,0,1.0,2,4,D
238,0,84,1,2.0,7,0,1.0,1,4,C
239,1,51,1,4.0,0,0,0.0,2,5,A
240,1,59,1,2.0,0,1,1.0,0,4,A
241,0,41,1,5.0,0,1,1.0,0,4,A
242,1,51,1,2.0,4,0,1.0,1,4,C
243,0,62,1,3.0,0,0,2.552586938083121,0,4,A
244,0,62,1,4.0,7,0,1.0,1,2,C
245,0,38,1,1.0,0,1,8.0,2,4,B
246,1,18,0,4.0,0,0,2.552586938083121,2,2,D
247,1,22,0,4.0,5,0,3.0,2,4,D
248,0,30,1,3.0,1,1,0.0,2,6,B
249,0,62,1,1.0,3,1,1.0,2,4,C
250,0,43,0,3.0,3,0,1.0,2,4,D
251,0,32,0,1.0,2,1,2.552586938083121,2,6,B
252,1,37,1,2.8253778838504378,0,1,1.0,1,4,A
253,1,48,0,1.0,0,1,1.0,2,4,B
254,0,31,0,2.0,2,1,4.0,2,4,B
255,1,46,1,4.0,0,0,4.0,1,4,A
256,0,49,1,4.0,2,0,1.0,0,4,A
257,1,43,1,4.0,1,0,2.552586938083121,0,4,A
258,1,42,0,1.0,0,1,8.0,2,4,B
259,1,37,1,2.0,1,1,2.552586938083121,2,4,B
260,1,72,1,2.0,3,1,2.552586938083121,1,4,C
261,1,71,1,1.0,4,0,2.552586938083121,1,4,C
262,0,39,0,1.0,2,1,1.0,2,2,B
263,1,20,0,5.0,5,0,0.0,2,0,D
264,0,26,0,1.0,0,0,2.552586938083121,2,3,B
265,1,72,1,1.0,4,1,1.0,2,4,C
266,1,70,1,1.0,5,1,0.0,2,2,C
267,1,45,0,1.0,0,1,2.0,2,4,B
268,1,33,0,5.0,4,0,7.0,2,4,D
269,1,50,1,3.0,3,0,0.0,0,4,A
270,1,31,0,1.0,3,1,6.0,2,4,B
271,0,74,1,2.0,7,0,1.0,1,4,C
272,0,68,1,2.0,0,0,2.552586938083121,1,4,A
273,0,49,0,1.0,0,1,2.552586938083121,2,4,B
274,1,49,1,2.0,8,1,0.0,1,4,C
275,0,18,0,3.0,5,0,1.0,2,4,D
276,0,85,1,2.0,3,0,2.0,0,4,C
277,0,38,0,4.0,3,1,2.552586938083121,2,4,B
278,1,28,1,4.0,0,0,0.0,2,4,D
279,1,46,1,2.0,0,0,3.0,0,4,A
280,1,59,1,3.0,6,1,9.0,0,4,A
281,0,56,1,2.0,0,1,0.0,2,4,B
282,1,69,1,1.0,0,1,0.0,2,4,B
283,1,66,1,2.0,0,1,0.0,2,4,B
284,1,18,0,6.0,5,0,4.0,2,0,D
285,1,36,0,1.0,0,1,4.0,2,2,B
286,1,31,0,2.0,8,1,1.0,2,6,B
287,1,67,1,2.0,4,0,1.0,1,2,C
288,0,39,0,1.0,0,1,7.0,2,4,B
289,1,42,0,3.0,3,1,4.0,2,4,B
290,1,50,1,2.0,0,1,0.0,2,4,B
291,0,37,1,2.0,0,1,0.0,0,4,A
292,0,59,0,1.0,0,1,0.0,2,4,B
293,1,50,1,2.0,0,1,8.0,2,4,B
294,1,48,1,3.0,0,1,8.0,2,0,B
295,1,55,1,1.0,0,1,9.0,2,4,B
296,0,33,0,3.0,1,1,1.0,2,4,B
297,1,38,0,1.0,0,1,13.0,2,3,B
298,1,43,0,2.0,0,1,0.0,2,4,B
299,0,53,0,2.0,0,1,0.0,2,4,B
300,1,37,0,1.0,3,1,0.0,2,4,B
301,0,36,0,1.0,0,1,5.0,2,4,B
302,1,36,0,1.0,0,1,5.0,2,4,B
303,1,62,1,1.0,0,1,1.0,2,4,B
304,0,38,0,2.0,0,0,2.0,2,4,B
305,1,55,0,1.0,3,1,1.0,2,4,B
306,1,60,1,2.0,3,0,1.0,0,4,A
307,0,36,1,2.0,3,1,7.0,0,1,A
308,1,30,0,9.0,3,0,5.0,2,6,D
309,0,66,0,3.0,3,0,4.0,2,4,D
310,1,45,1,1.0,3,1,1.0,2,4,B
311,0,40,0,2.8253778838504378,3,1,6.0,2,4,B
312,0,45,1,3.0,3,1,5.0,2,4,B
313,1,41,1,1.0,0,1,2.0,2,4,B
314,0,62,1,1.0,6,1,4.0,2,1,C
315,1,61,1,2.0,0,1,1.0,2,4,B
316,0,50,1,2.0,0,1,4.0,2,4,B
317,1,53,1,2.0,3,1,3.0,2,4,B
318,1,39,0,1.0,0,1,7.0,2,4,B
319,0,86,0,1.0,7,1,0.0,2,6,C
320,1,50,1,1.0,0,1,1.0,2,2,B
321,0,46,0,2.8253778838504378,3,0,4.0,2,2,D
322,1,52,0,1.0,8,1,0.0,2,6,C
323,0,45,0,1.0,8,0,0.0,2,4,D
324,0,37,0,1.0,0,1,9.0,2,4,B
325,0,36,1,1.0,2,1,3.0,2,4,B
326,0,25,0,1.0,0,1,2.552586938083121,2,4,B
327,0,40,0,1.0,1,0,1.0,2,4,B
328,1,41,1,2.0,0,1,11.0,1,4,B
329,0,25,1,2.0,6,1,2.552586938083121,1,4,B
330,1,80,1,2.0,7,0,4.0,0,4,C
331,0,46,0,1.0,0,1,3.0,2,6,B
332,0,81,1,1.0,7,1,1.0,2,4,C
333,1,40,1,2.0,0,1,0.0,2,6,B
334,1,49,0,1.0,0,1,1.0,2,6,B
335,0,26,0,3.0,5,1,8.0,2,6,B
336,1,26,0,1.0,0,1,1.0,2,2,B
337,0,47,0,1.0,0,1,0.0,2,2,B
338,0,71,1,2.8253778838504378,3,1,0.0,2,4,C
339,1,48,1,5.0,2,1,1.0,0,4,A
340,1,39,1,3.0,0,1,1.0,0,0,A
341,1,50,1,2.0,0,1,8.0,0,4,A
342,0,46,0,2.0,0,1,1.0,2,4,B
343,1,26,1,2.0,2,1,8.0,0,6,A
344,0,42,1,2.0,0,1,1.0,2,4,B
345,0,36,1,2.0,0,1,4.0,2,4,B
346,1,29,0,4.0,5,1,1.0,2,4,D
347,0,39,0,1.0,0,0,1.0,2,4,B
348,0,41,0,3.0,0,1,0.0,2,4,B
349,0,48,1,2.8253778838504378,8,1,8.0,2,4,C
350,1,40,1,3.0,3,1,9.0,1,4,A
351,0,25,0,3.0,5,1,4.0,2,4,B
352,0,41,1,2.0,0,1,7.0,2,4,B
353,1,37,0,1.0,0,1,11.0,2,4,B
354,0,53,0,2.8253778838504378,1,1,0.0,2,6,B
355,0,51,1,3.0,2,1,0.0,0,6,A
356,1,73,1,3.0,3,1,1.0,0,4,A
357,1,61,1,5.0,0,0,1.0,2,2,A
358,1,39,0,1.0,3,1,5.0,2,6,B
359,0,19,0,4.0,5,0,0.0,2,0,D
360,0,19,0,7.0,5,0,0.0,2,0,D
361,0,23,0,5.0,3,0,1.0,2,0,D
362,1,83,1,2.0,4,1,0.0,1,0,C
363,0,62,1,2.0,0,1,1.0,1,4,A
364,0,43,0,4.0,0,1,9.0,2,4,B
365,0,27,0,5.0,0,0,0.0,2,0,D
366,1,50,0,1.0,0,1,0.0,2,4,B
367,0,23,0,6.0,3,0,0.0,2,0,D
368,1,35,0,2.0,3,0,9.0,2,4,D
369,1,32,0,3.0,5,0,9.0,2,4,D
370,0,42,0,3.0,1,1,2.0,2,4,B
371,1,33,0,1.0,3,0,13.0,2,4,B
372,0,28,0,3.0,3,1,9.0,2,4,B
373,1,35,1,2.0,0,1,1.0,2,3,B
374,0,35,0,2.0,5,1,9.0,2,4,B
375,0,39,1,2.0,3,1,0.0,2,4,B
376,1,28,1,1.0,0,1,6.0,2,4,B
377,1,35,1,6.0,3,1,11.0,2,4,B
378,0,45,1,2.0,2,1,0.0,0,4,A
379,0,73,1,2.8253778838504378,7,1,4.0,1,4,C
380,1,52,0,1.0,3,0,1.0,2,4,B
381,1,28,0,3.0,5,0,0.0,2,4,D
382,1,38,1,3.0,5,1,9.0,2,4,B
383,0,42,0,1.0,3,1,8.0,2,4,B
384,0,26,0,2.8253778838504378,1,0,9.0,2,4,D
385,0,27,0,2.0,5,1,7.0,2,4,B
386,1,41,1,2.0,0,1,0.0,2,4,B
387,1,41,1,2.0,0,1,1.0,2,4,B
388,1,47,1,4.0,4,1,0.0,1,4,A
389,1,35,0,1.0,1,1,8.0,2,4,B
390,0,88,0,1.0,7,1,0.0,2,4,C
391,0,46,0,1.0,0,1,6.0,2,4,B
392,0,41,1,2.0,0,1,3.0,2,4,B
393,0,30,0,5.0,1,1,10.0,2,4,B
394,1,43,1,2.0,1,1,12.0,2,4,B
395,0,29,0,2.0,3,1,9.0,2,4,B
396,1,48,1,1.0,0,1,1.0,2,4,B
397,0,61,1,6.0,0,1,4.0,0,2,A
398,0,51,0,1.0,7,1,2.0,2,4,B
399,0,38,0,1.0,0,1,2.0,2,4,B
400,0,49,1,1.0,3,1,0.0,1,4,A
401,0,43,0,1.0,5,1,9.0,2,4,B
402,1,27,0,4.0,5,0,14.0,2,4,D
403,0,35,0,6.0,1,0,14.0,2,3,D
404,0,39,1,2.0,1,0,4.0,0,3,A
405,0,52,1,2.8253778838504378,2,0,9.0,2,4,B
406,0,38,0,1.0,2,1,10.0,2,4,B
407,0,30,0,2.0,3,1,12.0,2,4,B
408,0,43,0,1.0,0,1,10.0,2,4,B
409,0,42,0,4.0,3,0,10.0,2,4,D
410,0,46,0,1.0,0,1,2.0,2,3,B
411,0,47,0,2.0,0,1,11.0,2,4,B
412,0,32,0,5.0,3,0,13.0,2,3,D
413,0,53,1,2.0,0,1,11.0,0,4,A
414,0,43,1,2.8253778838504378,0,1,12.0,0,4,A
415,0,39,0,2.0,0,1,0.0,2,4,B
416,1,42,1,2.0,0,1,3.0,0,4,A
417,0,37,0,1.0,0,1,3.0,2,6,B
418,1,19,0,4.0,5,0,0.0,2,4,D
419,1,30,0,1.0,8,0,1.0,2,6,D
420,0,49,1,1.0,0,1,0.0,2,2,B
421,1,55,1,3.0,5,1,0.0,2,2,C
422,0,59,1,2.0,1,1,1.0,2,2,B
423,0,46,1,2.0,0,1,2.552586938083121,2,4,B
424,0,27,1,2.0,4,1,9.0,1,4,B
425,0,25,0,2.0,0,1,1.0,2,4,B
426,0,37,0,1.0,1,1,1.0,2,4,B
427,1,38,0,3.0,0,1,9.0,2,4,B
428,1,29,0,3.0,3,1,9.0,2,4,B
429,1,28,0,2.0,0,1,11.0,2,4,B
430,0,27,1,2.0,8,1,8.0,2,4,B
431,0,42,0,2.0,3,0,3.0,2,4,D
432,0,43,0,2.0,0,1,14.0,2,4,B
433,0,40,1,2.0,5,1,8.0,0,4,A
434,1,41,0,3.0,0,1,9.0,2,4,B
435,1,46,1,1.0,3,0,8.0,2,5,B
436,0,32,0,3.0,5,1,9.0,2,4,B
437,0,56,0,1.0,3,1,1.0,2,4,B
438,1,28,0,1.0,8,1,12.0,2,4,B
439,0,25,0,3.0,0,1,0.0,2,3,B
440,1,42,1,7.0,0,1,6.0,2,4,A
441,0,41,0,2.0,3,1,5.0,2,4,B
442,1,36,1,2.0,5,1,3.0,2,4,B
443,0,42,0,1.0,0,1,2.0,2,4,B
444,0,42,0,4.0,0,1,8.0,2,4,B
445,0,55,0,2.0,3,1,1.0,2,4,B
446,1,52,1,2.8253778838504378,3,1,1.0,1,4,A
447,0,47,0,1.0,2,1,1.0,2,4,B
448,1,57,1,3.0,0,1,2.0,1,4,A
449,0,26,0,1.0,0,1,8.0,2,4,B
450,0,28,0,2.0,0,0,5.0,2,4,B
451,0,37,0,1.0,1,1,0.0,2,4,B
452,1,89,1,1.0,7,0,0.0,2,6,C
453,1,25,0,1.0,8,0,2.0,2,6,D
454,1,50,1,4.0,4,1,1.0,1,2,A
455,0,42,0,1.0,1,1,5.0,2,4,B
456,1,48,0,1.0,0,1,2.552586938083121,2,4,B
457,0,37,0,2.8253778838504378,3,1,9.0,2,6,B
458,0,30,0,5.0,2,0,1.0,2,6,D
459,1,26,1,4.0,3,0,2.0,2,6,D
460,0,47,1,2.0,0,1,2.552586938083121,0,4,A
461,1,36,0,4.0,5,0,2.552586938083121,2,2,D
462,1,53,1,4.0,1,0,2.552586938083121,0,6,A
463,1,30,0,6.0,3,0,1.0,2,6,D
464,0,20,0,7.0,5,0,4.0,2,6,D
465,0,19,0,5.0,8,0,8.0,2,6,D
466,1,19,0,6.0,5,0,9.0,2,6,D
467,0,37,0,2.8253778838504378,8,0,12.0,2,6,D
468,1,20,0,6.0,5,0,0.0,2,6,D
469,1,39,1,3.0,4,0,2.552586938083121,0,6,A
470,0,26,0,3.0,2,1,1.0,2,6,B
471,1,31,0,4.0,1,0,0.0,2,6,D
472,1,31,1,3.0,5,1,2.0,1,6,A
473,0,41,1,3.0,2,1,9.0,0,6,A
474,0,32,1,2.0,6,0,2.552586938083121,0,2,A
475,0,42,1,3.0,6,1,0.0,0,6,A
476,0,89,1,2.8253778838504378,7,0,1.0,2,6,C
477,1,78,1,3.0,7,0,1.0,1,6,C
478,0,65,1,2.0,7,1,1.0,2,6,C
479,0,48,1,2.8253778838504378,6,1,0.0,0,6,A
480,1,36,0,2.0,0,1,8.0,2,6,B
481,0,55,1,4.0,0,1,0.0,0,6,A
482,1,52,1,2.0,2,1,0.0,0,6,A
483,1,52,1,3.0,6,1,7.0,0,6,A
484,0,41,1,1.0,0,1,1.0,2,6,B
485,0,36,1,1.0,2,1,2.552586938083121,2,6,B
486,0,37,0,1.0,2,0,7.0,2,6,B
487,0,40,0,2.0,5,0,1.0,2,5,D
488,1,38,1,2.0,6,1,2.552586938083121,0,6,A
489,1,25,0,3.0,1,0,0.0,2,6,D
490,0,33,0,4.0,2,1,1.0,2,6,B
491,1,26,0,1.0,0,1,1.0,2,6,B
492,0,28,0,1.0,3,0,0.0,2,6,D
493,1,18,0,6.0,8,0,0.0,2,6,D
494,1,52,0,3.0,3,0,0.0,2,6,D
495,1,26,0,2.0,5,1,0.0,2,6,B
496,1,18,0,4.0,5,0,0.0,2,6,D
497,0,20,0,2.0,8,0,1.0,2,6,D
498,0,36,1,3.0,1,1,0.0,0,6,A
499,1,27,1,2.0,1,1,8.0,0,2,A
500,1,21,0,5.0,5,0,2.552586938083121,2,3,D
501,1,27,0,4.0,3,1,8.0,2,6,B
502,0,28,0,2.8253778838504378,5,1,2.552586938083121,2,6,B
503,1,63,1,4.0,7,1,2.552586938083121,2,6,C
504,1,48,0,2.8253778838504378,3,1,2.552586938083121,2,6,B
505,1,80,1,2.0,7,1,1.0,2,6,C
506,0,71,1,3.0,7,1,7.0,1,6,C
507,1,47,1,4.0,1,0,8.0,1,4,A
508,0,22,0,4.0,0,0,1.0,2,6,D
509,1,35,1,2.0,0,1,2.552586938083121,1,6,A
510,0,40,0,6.0,3,0,2.552586938083121,2,6,D
511,0,18,0,2.8253778838504378,5,0,2.552586938083121,2,6,D
512,0,26,0,4.0,0,1,0.0,2,6,B
513,0,73,1,5.0,7,1,2.552586938083121,2,5,C
514,1,86,1,1.0,7,1,2.552586938083121,2,6,C
